./compare_output.py ../tiger2023 ../tiger2024

02110.csv: added 91 (3.66%), deleted 95 (3.82%), changed 132 (5.31%)
02122.csv: added 196 (1.55%), deleted 189 (1.49%), changed 64 (0.51%)
02130.csv: added 89 (6.07%), deleted 91 (6.20%), changed 208 (14.18%)
02150.csv: added 18 (1.48%), deleted 13 (1.07%), changed 0 (0.00%)
02158.csv: added 2 (1.24%), deleted 1 (0.62%), changed 1 (0.62%)
02164.csv: added 0 (0.00%), deleted 0 (0.00%), changed 0 (0.00%)
02170.csv: added 296 (1.88%), deleted 250 (1.58%), changed 307 (1.95%)
02180.csv: added 173 (34.19%), deleted 156 (30.83%), changed 62 (12.25%)
02185.csv: added 108 (19.35%), deleted 99 (17.74%), changed 66 (11.83%)
02188.csv: added 53 (19.27%), deleted 52 (18.91%), changed 47 (17.09%)
02195.csv: added 0 (0.00%), deleted 0 (0.00%), changed 0 (0.00%)
02198.csv: added 23 (3.70%), deleted 25 (4.02%), changed 68 (10.93%)
02220.csv: added 70 (9.27%), deleted 75 (9.93%), changed 48 (6.36%)
02230.csv: added 27 (12.39%), deleted 29 (13.30%), changed 70 (32.11%)
02240.csv: added 1 (0.16%), deleted 1 (0.16%), changed 0 (0.00%)
02275.csv: added 3 (1.47%), deleted 2 (0.98%), changed 0 (0.00%)
02282.csv: added 0 (0.00%), deleted 0 (0.00%), changed 0 (0.00%)
02290.csv: added 94 (26.26%), deleted 118 (32.96%), changed 52 (14.53%)
04001.csv: added 213 (3.96%), deleted 193 (3.59%), changed 5 (0.09%)
04003.csv: added 359 (1.47%), deleted 354 (1.45%), changed 3 (0.01%)
04005.csv: added 464 (2.52%), deleted 424 (2.31%), changed 28 (0.15%)
04007.csv: added 476 (5.01%), deleted 466 (4.90%), changed 27 (0.28%)
04009.csv: added 220 (4.22%), deleted 203 (3.90%), changed 9 (0.17%)
04011.csv: added 31 (2.43%), deleted 28 (2.20%), changed 4 (0.31%)
04012.csv: added 142 (2.42%), deleted 138 (2.36%), changed 17 (0.29%)
04013.csv: added 2856 (0.79%), deleted 2383 (0.66%), changed 142 (0.04%)
04015.csv: added 1433 (3.66%), deleted 1316 (3.36%), changed 79 (0.20%)
04017.csv: added 721 (4.06%), deleted 678 (3.82%), changed 36 (0.20%)
04019.csv: added 641 (0.68%), deleted 539 (0.57%), changed 21 (0.02%)
04021.csv: added 2843 (5.69%), deleted 2300 (4.60%), changed 95 (0.19%)
04023.csv: added 245 (3.31%), deleted 226 (3.05%), changed 20 (0.27%)
04025.csv: added 1902 (4.97%), deleted 1612 (4.21%), changed 110 (0.29%)
04027.csv: added 645 (3.79%), deleted 623 (3.66%), changed 11 (0.06%)
05001.csv: added 90 (1.67%), deleted 87 (1.62%), changed 9 (0.17%)
05003.csv: added 44 (1.01%), deleted 48 (1.10%), changed 3 (0.07%)
05005.csv: added 393 (3.69%), deleted 343 (3.22%), changed 33 (0.31%)
05007.csv: added 951 (2.70%), deleted 889 (2.52%), changed 85 (0.24%)
05009.csv: added 95 (1.11%), deleted 85 (0.99%), changed 7 (0.08%)
05011.csv: added 37 (1.23%), deleted 34 (1.13%), changed 3 (0.10%)
05013.csv: added 16 (2.14%), deleted 10 (1.34%), changed 1 (0.13%)
05015.csv: added 370 (5.93%), deleted 342 (5.48%), changed 44 (0.71%)
05017.csv: added 57 (2.01%), deleted 52 (1.83%), changed 9 (0.32%)
05019.csv: added 154 (2.77%), deleted 149 (2.68%), changed 23 (0.41%)
05021.csv: added 169 (2.72%), deleted 164 (2.64%), changed 2904 (46.72%)
05023.csv: added 177 (2.68%), deleted 185 (2.80%), changed 13 (0.20%)
05025.csv: added 11 (0.67%), deleted 13 (0.79%), changed 0 (0.00%)
05027.csv: added 68 (0.94%), deleted 68 (0.94%), changed 7 (0.10%)
05029.csv: added 108 (1.94%), deleted 104 (1.87%), changed 32 (0.58%)
05031.csv: added 375 (2.85%), deleted 334 (2.54%), changed 135 (1.03%)
05033.csv: added 274 (2.49%), deleted 280 (2.55%), changed 13 (0.12%)
05035.csv: added 79 (1.15%), deleted 72 (1.05%), changed 4644 (67.53%)
05037.csv: added 98 (2.36%), deleted 100 (2.41%), changed 4 (0.10%)
05039.csv: added 49 (2.33%), deleted 43 (2.04%), changed 1 (0.05%)
05041.csv: added 44 (1.87%), deleted 42 (1.79%), changed 4 (0.17%)
05043.csv: added 81 (2.08%), deleted 86 (2.21%), changed 3 (0.08%)
05045.csv: added 246 (1.81%), deleted 245 (1.80%), changed 17 (0.12%)
05047.csv: added 74 (1.22%), deleted 93 (1.53%), changed 7 (0.12%)
05049.csv: added 96 (1.56%), deleted 84 (1.36%), changed 0 (0.00%)
05051.csv: added 276 (1.42%), deleted 291 (1.49%), changed 59 (0.30%)
05053.csv: added 110 (2.58%), deleted 102 (2.40%), changed 10 (0.23%)
05055.csv: added 129 (1.53%), deleted 123 (1.46%), changed 131 (1.55%)
05057.csv: added 125 (2.17%), deleted 111 (1.93%), changed 19 (0.33%)
05059.csv: added 129 (1.49%), deleted 109 (1.26%), changed 5 (0.06%)
05061.csv: added 39 (0.95%), deleted 43 (1.05%), changed 5 (0.12%)
05063.csv: added 137 (1.66%), deleted 137 (1.66%), changed 17 (0.21%)
05065.csv: added 66 (2.09%), deleted 65 (2.06%), changed 6 (0.19%)
05067.csv: added 82 (2.38%), deleted 77 (2.23%), changed 17 (0.49%)
05069.csv: added 175 (1.08%), deleted 163 (1.00%), changed 24 (0.15%)
05071.csv: added 143 (2.03%), deleted 148 (2.10%), changed 7 (0.10%)
05073.csv: added 28 (1.88%), deleted 29 (1.95%), changed 1 (0.07%)
05075.csv: added 68 (1.29%), deleted 65 (1.24%), changed 28 (0.53%)
05077.csv: added 66 (2.16%), deleted 63 (2.06%), changed 9 (0.29%)
05079.csv: added 29 (1.49%), deleted 27 (1.39%), changed 3 (0.15%)
05081.csv: added 50 (1.44%), deleted 48 (1.38%), changed 2 (0.06%)
05083.csv: added 75 (1.45%), deleted 76 (1.47%), changed 9 (0.17%)
05085.csv: added 225 (2.10%), deleted 231 (2.16%), changed 28 (0.26%)
05087.csv: added 158 (3.34%), deleted 76 (1.61%), changed 16 (0.34%)
05089.csv: added 66 (1.27%), deleted 58 (1.11%), changed 1 (0.02%)
05091.csv: added 60 (0.86%), deleted 51 (0.73%), changed 1 (0.01%)
05093.csv: added 141 (1.69%), deleted 120 (1.44%), changed 7234 (86.62%)
05095.csv: added 29 (1.52%), deleted 35 (1.83%), changed 13 (0.68%)
05097.csv: added 25 (0.82%), deleted 23 (0.75%), changed 2 (0.07%)
05099.csv: added 32 (1.58%), deleted 24 (1.19%), changed 1 (0.05%)
05101.csv: added 32 (5.58%), deleted 25 (4.36%), changed 0 (0.00%)
05103.csv: added 95 (1.46%), deleted 96 (1.48%), changed 7 (0.11%)
05105.csv: added 40 (1.50%), deleted 35 (1.31%), changed 2 (0.07%)
05107.csv: added 105 (2.69%), deleted 107 (2.74%), changed 19 (0.49%)
05109.csv: added 66 (1.98%), deleted 54 (1.62%), changed 9 (0.27%)
05111.csv: added 163 (2.94%), deleted 167 (3.01%), changed 108 (1.95%)
05113.csv: added 83 (1.12%), deleted 93 (1.25%), changed 6 (0.08%)
05115.csv: added 183 (1.32%), deleted 194 (1.40%), changed 22 (0.16%)
05117.csv: added 26 (1.14%), deleted 24 (1.05%), changed 5 (0.22%)
05119.csv: added 414 (0.87%), deleted 389 (0.82%), changed 43 (0.09%)
05121.csv: added 87 (1.53%), deleted 103 (1.81%), changed 7 (0.12%)
05123.csv: added 89 (1.42%), deleted 92 (1.46%), changed 3 (0.05%)
05125.csv: added 269 (1.52%), deleted 261 (1.47%), changed 28 (0.16%)
05127.csv: added 32 (1.17%), deleted 34 (1.25%), changed 1 (0.04%)
05129.csv: added 8 (0.33%), deleted 9 (0.38%), changed 0 (0.00%)
05131.csv: added 202 (1.14%), deleted 210 (1.18%), changed 5 (0.03%)
05133.csv: added 26 (0.75%), deleted 29 (0.83%), changed 2 (0.06%)
05135.csv: added 72 (1.36%), deleted 71 (1.34%), changed 10 (0.19%)
05137.csv: added 42 (1.20%), deleted 41 (1.17%), changed 0 (0.00%)
05139.csv: added 115 (1.21%), deleted 115 (1.21%), changed 3 (0.03%)
05141.csv: added 97 (2.00%), deleted 98 (2.02%), changed 10 (0.21%)
05143.csv: added 414 (1.43%), deleted 411 (1.42%), changed 18 (0.06%)
05145.csv: added 263 (2.05%), deleted 262 (2.04%), changed 5 (0.04%)
05147.csv: added 32 (2.25%), deleted 36 (2.53%), changed 4 (0.28%)
05149.csv: added 77 (1.67%), deleted 72 (1.56%), changed 5 (0.11%)
06001.csv: added 1044 (1.27%), deleted 985 (1.20%), changed 73 (0.09%)
06003.csv: added 20 (3.53%), deleted 18 (3.17%), changed 0 (0.00%)
06005.csv: added 160 (2.38%), deleted 147 (2.18%), changed 8 (0.12%)
06007.csv: added 307 (1.23%), deleted 287 (1.15%), changed 100 (0.40%)
06009.csv: added 201 (2.10%), deleted 211 (2.21%), changed 2 (0.02%)
06011.csv: added 49 (1.60%), deleted 71 (2.31%), changed 2 (0.07%)
06013.csv: added 2759 (3.72%), deleted 2675 (3.61%), changed 212 (0.29%)
06015.csv: added 91 (2.12%), deleted 85 (1.98%), changed 68 (1.58%)
06017.csv: added 711 (2.69%), deleted 685 (2.59%), changed 74 (0.28%)
06019.csv: added 1257 (1.71%), deleted 1076 (1.46%), changed 366 (0.50%)
06021.csv: added 84 (2.33%), deleted 82 (2.27%), changed 10 (0.28%)
06023.csv: added 571 (2.81%), deleted 572 (2.81%), changed 70 (0.34%)
06025.csv: added 224 (1.77%), deleted 211 (1.66%), changed 15 (0.12%)
06027.csv: added 45 (1.80%), deleted 40 (1.60%), changed 2 (0.08%)
06029.csv: added 1340 (1.77%), deleted 1291 (1.71%), changed 75 (0.10%)
06031.csv: added 329 (2.68%), deleted 301 (2.45%), changed 13 (0.11%)
06033.csv: added 451 (4.19%), deleted 440 (4.08%), changed 34 (0.32%)
06035.csv: added 35 (2.64%), deleted 31 (2.34%), changed 1 (0.08%)
06037.csv: added 7671 (1.75%), deleted 7593 (1.74%), changed 294 (0.07%)
06039.csv: added 673 (3.89%), deleted 646 (3.73%), changed 35 (0.20%)
06041.csv: added 167 (0.87%), deleted 171 (0.89%), changed 26 (0.14%)
06043.csv: added 165 (4.02%), deleted 153 (3.73%), changed 19 (0.46%)
06045.csv: added 257 (2.10%), deleted 229 (1.87%), changed 14 (0.11%)
06047.csv: added 262 (0.99%), deleted 249 (0.94%), changed 12 (0.05%)
06049.csv: added 51 (1.80%), deleted 38 (1.34%), changed 59 (2.08%)
06051.csv: added 75 (3.25%), deleted 63 (2.73%), changed 10 (0.43%)
06053.csv: added 726 (2.87%), deleted 713 (2.82%), changed 56 (0.22%)
06055.csv: added 78 (0.69%), deleted 90 (0.79%), changed 4 (0.04%)
06057.csv: added 571 (3.31%), deleted 551 (3.19%), changed 40 (0.23%)
06059.csv: added 4227 (2.68%), deleted 4054 (2.57%), changed 217 (0.14%)
06061.csv: added 346 (0.97%), deleted 331 (0.93%), changed 23 (0.06%)
06063.csv: added 238 (4.84%), deleted 221 (4.50%), changed 14 (0.28%)
06065.csv: added 1839 (1.17%), deleted 1655 (1.05%), changed 113 (0.07%)
06067.csv: added 476 (0.50%), deleted 463 (0.49%), changed 10 (0.01%)
06069.csv: added 52 (0.92%), deleted 51 (0.90%), changed 1 (0.02%)
06071.csv: added 1646 (0.82%), deleted 1551 (0.77%), changed 87 (0.04%)
06073.csv: added 3871 (2.11%), deleted 3784 (2.06%), changed 227 (0.12%)
06075.csv: added 556 (2.21%), deleted 489 (1.95%), changed 86 (0.34%)
06077.csv: added 1323 (2.65%), deleted 1272 (2.55%), changed 63 (0.13%)
06079.csv: added 271 (0.86%), deleted 274 (0.87%), changed 23 (0.07%)
06081.csv: added 732 (1.88%), deleted 672 (1.73%), changed 116 (0.30%)
06083.csv: added 155 (0.54%), deleted 165 (0.57%), changed 10 (0.03%)
06085.csv: added 1069 (1.12%), deleted 1071 (1.12%), changed 129 (0.14%)
06087.csv: added 209 (0.89%), deleted 207 (0.88%), changed 9 (0.04%)
06089.csv: added 609 (2.42%), deleted 601 (2.39%), changed 43 (0.17%)
06091.csv: added 35 (4.36%), deleted 30 (3.74%), changed 4 (0.50%)
06093.csv: added 306 (2.39%), deleted 305 (2.39%), changed 230 (1.80%)
06095.csv: added 1105 (3.60%), deleted 1036 (3.37%), changed 88 (0.29%)
06097.csv: added 1299 (3.08%), deleted 1276 (3.03%), changed 65 (0.15%)
06099.csv: added 1202 (2.89%), deleted 1131 (2.72%), changed 48 (0.12%)
06101.csv: added 48 (0.55%), deleted 62 (0.71%), changed 18 (0.21%)
06103.csv: added 283 (2.82%), deleted 253 (2.52%), changed 38 (0.38%)
06105.csv: added 149 (5.51%), deleted 128 (4.73%), changed 11 (0.41%)
06107.csv: added 764 (1.86%), deleted 720 (1.75%), changed 28 (0.07%)
06109.csv: added 650 (6.78%), deleted 642 (6.70%), changed 37 (0.39%)
06111.csv: added 388 (0.76%), deleted 375 (0.73%), changed 24 (0.05%)
06113.csv: added 87 (0.61%), deleted 84 (0.59%), changed 1 (0.01%)
06115.csv: added 185 (2.27%), deleted 116 (1.42%), changed 17 (0.21%)
08001.csv: added 715 (1.96%), deleted 688 (1.89%), changed 39 (0.11%)
08003.csv: added 85 (2.20%), deleted 69 (1.78%), changed 17 (0.44%)
08005.csv: added 436 (1.03%), deleted 328 (0.77%), changed 23 (0.05%)
08007.csv: added 90 (2.58%), deleted 74 (2.12%), changed 17 (0.49%)
08009.csv: added 8 (0.29%), deleted 9 (0.32%), changed 2 (0.07%)
08011.csv: added 10 (0.51%), deleted 15 (0.77%), changed 13 (0.67%)
08013.csv: added 461 (1.63%), deleted 507 (1.80%), changed 67 (0.24%)
08014.csv: added 83 (1.62%), deleted 97 (1.89%), changed 5 (0.10%)
08015.csv: added 150 (3.04%), deleted 141 (2.86%), changed 32 (0.65%)
08017.csv: added 7 (0.58%), deleted 6 (0.50%), changed 0 (0.00%)
08019.csv: added 203 (7.37%), deleted 241 (8.75%), changed 40 (1.45%)
08021.csv: added 54 (1.76%), deleted 46 (1.50%), changed 0 (0.00%)
08023.csv: added 45 (3.89%), deleted 40 (3.45%), changed 4 (0.35%)
08025.csv: added 11 (0.54%), deleted 14 (0.69%), changed 2 (0.10%)
08027.csv: added 110 (3.19%), deleted 94 (2.72%), changed 5 (0.14%)
08029.csv: added 163 (2.04%), deleted 196 (2.45%), changed 8 (0.10%)
08031.csv: added 177 (0.42%), deleted 186 (0.44%), changed 0 (0.00%)
08033.csv: added 17 (1.42%), deleted 12 (1.00%), changed 0 (0.00%)
08035.csv: added 601 (2.23%), deleted 243 (0.90%), changed 12 (0.04%)
08037.csv: added 419 (7.34%), deleted 443 (7.76%), changed 50 (0.88%)
08039.csv: added 149 (2.85%), deleted 111 (2.12%), changed 99 (1.89%)
08041.csv: added 643 (1.04%), deleted 560 (0.91%), changed 12 (0.02%)
08043.csv: added 612 (6.21%), deleted 637 (6.47%), changed 80 (0.81%)
08045.csv: added 449 (5.16%), deleted 464 (5.33%), changed 65 (0.75%)
08047.csv: added 97 (5.81%), deleted 99 (5.93%), changed 21 (1.26%)
08049.csv: added 175 (4.14%), deleted 152 (3.60%), changed 23 (0.54%)
08051.csv: added 255 (4.25%), deleted 285 (4.75%), changed 38 (0.63%)
08053.csv: added 8 (1.75%), deleted 5 (1.09%), changed 4 (0.88%)
08055.csv: added 173 (5.83%), deleted 186 (6.27%), changed 14 (0.47%)
08057.csv: added 14 (2.08%), deleted 18 (2.68%), changed 4 (0.60%)
08059.csv: added 422 (0.76%), deleted 435 (0.79%), changed 13 (0.02%)
08061.csv: added 7 (0.34%), deleted 10 (0.48%), changed 0 (0.00%)
08063.csv: added 25 (0.68%), deleted 24 (0.65%), changed 34 (0.92%)
08065.csv: added 73 (5.86%), deleted 73 (5.86%), changed 9 (0.72%)
08067.csv: added 130 (1.23%), deleted 127 (1.20%), changed 12 (0.11%)
08069.csv: added 365 (0.81%), deleted 349 (0.77%), changed 25 (0.06%)
08071.csv: added 309 (5.12%), deleted 304 (5.04%), changed 19 (0.31%)
08073.csv: added 26 (0.98%), deleted 28 (1.06%), changed 2 (0.08%)
08075.csv: added 99 (1.42%), deleted 102 (1.46%), changed 1 (0.01%)
08077.csv: added 249 (1.36%), deleted 188 (1.03%), changed 20 (0.11%)
08079.csv: added 22 (4.69%), deleted 19 (4.05%), changed 12 (2.56%)
08081.csv: added 116 (3.88%), deleted 105 (3.51%), changed 4 (0.13%)
08083.csv: added 147 (2.05%), deleted 184 (2.57%), changed 21 (0.29%)
