./compare_output.py ../tiger2024/ ../tiger2025/

02100.csv: added 9 (3.09%), deleted 7 (2.41%), changed 2 (0.69%)
02105.csv: added 8 (2.61%), deleted 9 (2.94%), changed 0 (0.00%)
02110.csv: added 245 (9.88%), deleted 234 (9.43%), changed 8 (0.32%)
02122.csv: added 3517 (27.79%), deleted 3812 (30.12%), changed 1178 (9.31%)
02130.csv: added 386 (26.35%), deleted 352 (24.03%), changed 20 (1.37%)
02150.csv: added 120 (9.81%), deleted 115 (9.40%), changed 10 (0.82%)
02158.csv: added 55 (33.95%), deleted 47 (29.01%), changed 37 (22.84%)
02164.csv: added 43 (32.58%), deleted 60 (45.45%), changed 37 (28.03%)
02170.csv: added 1791 (11.32%), deleted 1540 (9.74%), changed 157 (0.99%)
02180.csv: added 26 (4.97%), deleted 25 (4.78%), changed 5 (0.96%)
02185.csv: added 27 (4.76%), deleted 23 (4.06%), changed 4 (0.71%)
02188.csv: added 26 (9.42%), deleted 31 (11.23%), changed 1 (0.36%)
02195.csv: added 32 (8.21%), deleted 33 (8.46%), changed 0 (0.00%)
02198.csv: added 43 (6.94%), deleted 39 (6.29%), changed 9 (1.45%)
02220.csv: added 190 (25.33%), deleted 135 (18.00%), changed 6 (0.80%)
02230.csv: added 4 (1.85%), deleted 5 (2.31%), changed 1 (0.46%)
02240.csv: added 193 (29.92%), deleted 162 (25.12%), changed 90 (13.95%)
02275.csv: added 3 (1.46%), deleted 5 (2.44%), changed 0 (0.00%)
02282.csv: added 39 (32.23%), deleted 32 (26.45%), changed 25 (20.66%)
02290.csv: added 72 (21.56%), deleted 62 (18.56%), changed 8 (2.40%)
04001.csv: added 797 (14.76%), deleted 977 (18.09%), changed 423 (7.83%)
04003.csv: added 2488 (10.20%), deleted 2309 (9.46%), changed 350 (1.43%)
04005.csv: added 3054 (16.57%), deleted 3828 (20.77%), changed 656 (3.56%)
04007.csv: added 1789 (18.81%), deleted 1771 (18.62%), changed 313 (3.29%)
04009.csv: added 916 (17.53%), deleted 1028 (19.67%), changed 162 (3.10%)
04011.csv: added 224 (17.53%), deleted 228 (17.84%), changed 68 (5.32%)
04012.csv: added 548 (9.35%), deleted 655 (11.17%), changed 122 (2.08%)
04013.csv: added 18255 (5.06%), deleted 16253 (4.50%), changed 1158 (0.32%)
04015.csv: added 5203 (13.24%), deleted 5117 (13.02%), changed 657 (1.67%)
04017.csv: added 3062 (17.21%), deleted 3297 (18.53%), changed 595 (3.34%)
04019.csv: added 5633 (5.95%), deleted 5573 (5.89%), changed 371 (0.39%)
04021.csv: added 7122 (14.10%), deleted 7110 (14.08%), changed 813 (1.61%)
04023.csv: added 1376 (18.54%), deleted 1471 (19.82%), changed 347 (4.67%)
04025.csv: added 5752 (14.92%), deleted 5686 (14.75%), changed 631 (1.64%)
04027.csv: added 2129 (12.50%), deleted 2185 (12.83%), changed 197 (1.16%)
05001.csv: added 791 (14.69%), deleted 804 (14.94%), changed 252 (4.68%)
05003.csv: added 560 (12.82%), deleted 476 (10.89%), changed 62 (1.42%)
05005.csv: added 2110 (19.71%), deleted 2399 (22.41%), changed 586 (5.48%)
05007.csv: added 3968 (11.25%), deleted 3257 (9.23%), changed 191 (0.54%)
05009.csv: added 1121 (13.08%), deleted 1145 (13.36%), changed 183 (2.14%)
05011.csv: added 332 (11.06%), deleted 285 (9.49%), changed 11 (0.37%)
05013.csv: added 74 (9.81%), deleted 96 (12.73%), changed 57 (7.56%)
05015.csv: added 1146 (18.30%), deleted 1021 (16.30%), changed 154 (2.46%)
05017.csv: added 383 (13.46%), deleted 322 (11.32%), changed 60 (2.11%)
05019.csv: added 634 (11.39%), deleted 575 (10.33%), changed 66 (1.19%)
05021.csv: added 567 (9.11%), deleted 569 (9.15%), changed 63 (1.01%)
05023.csv: added 1147 (17.38%), deleted 1030 (15.61%), changed 109 (1.65%)
05025.csv: added 212 (12.83%), deleted 317 (19.19%), changed 177 (10.71%)
05027.csv: added 788 (10.92%), deleted 914 (12.67%), changed 95 (1.32%)
05029.csv: added 1071 (19.27%), deleted 945 (17.00%), changed 107 (1.92%)
05031.csv: added 1471 (11.16%), deleted 1311 (9.94%), changed 88 (0.67%)
05033.csv: added 1138 (10.36%), deleted 1295 (11.79%), changed 126 (1.15%)
05035.csv: added 711 (10.33%), deleted 661 (9.60%), changed 80 (1.16%)
05037.csv: added 881 (21.23%), deleted 981 (23.64%), changed 197 (4.75%)
05039.csv: added 347 (16.43%), deleted 304 (14.39%), changed 108 (5.11%)
05041.csv: added 320 (13.62%), deleted 304 (12.94%), changed 52 (2.21%)
05043.csv: added 933 (24.00%), deleted 1039 (26.73%), changed 200 (5.15%)
05045.csv: added 2209 (16.21%), deleted 1890 (13.87%), changed 151 (1.11%)
05047.csv: added 1136 (18.77%), deleted 1582 (26.14%), changed 261 (4.31%)
05049.csv: added 462 (7.49%), deleted 493 (7.99%), changed 92 (1.49%)
05051.csv: added 2726 (14.01%), deleted 2454 (12.62%), changed 223 (1.15%)
05053.csv: added 642 (15.05%), deleted 648 (15.19%), changed 51 (1.20%)
05055.csv: added 856 (10.15%), deleted 849 (10.07%), changed 104 (1.23%)
05057.csv: added 701 (12.17%), deleted 678 (11.77%), changed 90 (1.56%)
05059.csv: added 1767 (20.36%), deleted 2412 (27.80%), changed 505 (5.82%)
